id	certification(certification_authority:certification_name:certification_code)
shopify_ZZ_12038364561672_58058556244232	EC:EPREL:2776704
shopify_ZZ_12052720255240_58095801893128	EC:EPREL:2776704
shopify_ZZ_12052728545544_58095810773256	EC:EPREL:2776704
shopify_ZZ_12038305480968_58058057744648	EC:EPREL:2776701
shopify_ZZ_12038211436808_58057838690568	EC:EPREL:2370688
shopify_ZZ_12052882456840_58096027369736	EC:EPREL:2370688
shopify_ZZ_12052910604552_58096084615432	EC:EPREL:2370688
shopify_ZZ_12052862894344_58095984279816	EC:EPREL:2370688
shopify_ZZ_12052863877384_58095992078600	EC:EPREL:2370688
shopify_ZZ_12052812202248_58095911797000	EC:EPREL:2370688
shopify_ZZ_12052837466376_58095946858760	EC:EPREL:2370688
shopify_ZZ_12052856013064_58095971270920	EC:EPREL:2370688
shopify_ZZ_12053198405896_58097086988552	EC:EPREL:2370688
shopify_ZZ_12038233817352_58057871294728	EC:EPREL:2370724
shopify_ZZ_12053117206792_58096800268552	EC:EPREL:2370724
shopify_ZZ_12053158985992_58097024860424	EC:EPREL:2370724
shopify_ZZ_12053093384456_58096644555016	EC:EPREL:2370724
shopify_ZZ_12053101609224_58096672407816	EC:EPREL:2370724
shopify_ZZ_12053032632584_58096344563976	EC:EPREL:2370724
shopify_ZZ_12053079884040_58096556146952	EC:EPREL:2370724
shopify_ZZ_12053086601480_58096615129352	EC:EPREL:2370724
shopify_ZZ_12053187461384_58097064771848	EC:EPREL:2370724
shopify_ZZ_12038279332104_58057931456776	EC:EPREL:2776698
shopify_ZZ_12053363032328_58097379016968	EC:EPREL:2776698
shopify_ZZ_12053377909000_58097400414472	EC:EPREL:2776698
shopify_ZZ_12053337833736_58097319117064	EC:EPREL:2776698
shopify_ZZ_12053348417800_58097340973320	EC:EPREL:2776698
shopify_ZZ_12053256765704_58097203773704	EC:EPREL:2776698
shopify_ZZ_12053289402632_58097253220616	EC:EPREL:2776698
shopify_ZZ_12053406875912_58097449107720	EC:EPREL:2776698
shopify_ZZ_12053312012552_58097286086920	EC:EPREL:2776698
shopify_ZZ_12053453144328_58097511694600	EC:EPREL:2776698
shopify_ZZ_12053273116936_58097228349704	EC:EPREL:2776698
shopify_ZZ_12053465760008_58097535680776	EC:EPREL:2776698
shopify_ZZ_12035285221640_58051445096712	EC:EPREL:2776699
shopify_ZZ_12046057275656_58076874506504	EC:EPREL:2776699
shopify_ZZ_12049730011400_58085292245256	EC:EPREL:2776699
shopify_ZZ_12046072217864_58076890038536	EC:EPREL:2776699
shopify_ZZ_12051759956232_58093313392904	EC:EPREL:2776699
shopify_ZZ_12043911069960_58073074663688	EC:EPREL:2776699
shopify_ZZ_12049406460168_58084723491080	EC:EPREL:2776699
shopify_ZZ_12052134822152_58094617198856	EC:EPREL:2776699
shopify_ZZ_12049423433992_58084743414024	EC:EPREL:2776699
shopify_ZZ_12044286427400_58073701613832	EC:EPREL:2776699
shopify_ZZ_12049285087496_58084586717448	EC:EPREL:2776699
shopify_ZZ_12052136263944_58094628634888	EC:EPREL:2776699
shopify_ZZ_12049263296776_58084551164168	EC:EPREL:2776699
shopify_ZZ_12043298898184_58070011347208	EC:EPREL:2776699
shopify_ZZ_12049076846856_58084328014088	EC:EPREL:2776699
shopify_ZZ_12051820380424_58093466779912	EC:EPREL:2776699
shopify_ZZ_12046115995912_58076938895624	EC:EPREL:2776699
shopify_ZZ_12051776536840_58093348159752	EC:EPREL:2776699
shopify_ZZ_12043624841480_58070929441032	EC:EPREL:2776699
shopify_ZZ_12049214963976_58084478189832	EC:EPREL:2776699
shopify_ZZ_12051943457032_58093730300168	EC:EPREL:2776699
shopify_ZZ_12049174397192_58084433690888	EC:EPREL:2776699
shopify_ZZ_12051850756360_58093531562248	EC:EPREL:2776699
shopify_ZZ_12046078607624_58076896526600	EC:EPREL:2776699
shopify_ZZ_12052678607112_58095752970504	EC:EPREL:2776699
